player_id;dorsal;Player;position;Squad;MP;Starts;Min;Gls;Ast;CrdY;CrdR
5998;19;Pietro Anastasi;FW;Italy;3;2;201;1;;0;0
5999;20;Roberto Boninsegna;FW;Italy;1;0;45;0;;1;0
5691;21;Paolo Pulici;FW;Italy;0;0;0;0;;0;0
5694;8;Jan Jongbloed;GK;Netherlands;7;7;630;0;;0;0
5693;18;Piet Schrijvers;GK;Netherlands;0;0;0;0;;0;0
6000;21;Eddy Treijtel;GK;Netherlands;0;0;0;0;;0;0
6001;4;Kees van Ierssel;DF;Netherlands;0;0;0;0;;0;0
6002;5;Rinus Israël;DF;Netherlands;3;0;58;0;;0;0
5705;6;Wim Jansen;DF;Netherlands;7;7;630;0;;1;0
6003;12;Ruud Krol;DF;Netherlands;7;7;630;1;;0;0
5701;17;Wim Rijsbergen;DF;Netherlands;7;7;607;0;;0;0
6004;19;Pleun Strik;DF;Netherlands;0;0;0;0;;0;0
5702;20;Wim Suurbier;DF;Netherlands;7;7;623;0;;2;0
6005;22;Harry Vos;DF;Netherlands;0;0;0;0;;0;0
5706;2;Arie Haan;MF;Netherlands;7;7;630;0;;0;0
6006;3;Willem van Hanegem;MF;Netherlands;7;7;567;0;;2;0
6007;7;Theo de Jong;MF;Netherlands;4;0;77;1;;0;0
5707;10;René van de Kerkhof;MF;Netherlands;1;0;45;0;;0;0
5708;11;Willy van de Kerkhof;MF;Netherlands;0;0;0;0;;0;0
5709;13;Johan Neeskens;MF;Netherlands;7;7;612;5;;2;0
6008;14;Johan Cruyff ;MF;Netherlands;7;7;630;3;;2;0
6009;1;Ruud Geels;FW;Netherlands;0;0;0;0;;0;0
6010;9;Piet Keizer;FW;Netherlands;1;1;90;0;;0;0
5711;15;Rob Rensenbrink;FW;Netherlands;6;6;471;1;;0;0
5712;16;Johnny Rep;FW;Netherlands;7;7;630;4;;2;0
6011;1;Andrzej Fischer;GK;Poland;0;0;0;0;;0;0
5728;2;Jan Tomaszewski;GK;Poland;7;7;630;0;;0;0
6012;3;Zygmunt Kalinowski;GK;Poland;0;0;0;0;;0;0
5732;4;Antoni Szymanowski;DF;Poland;7;7;630;0;;0;0
6013;5;Zbigniew Gut;DF;Poland;2;1;110;0;;0;0
5733;6;Jerzy Gorgo?;DF;Poland;7;7;630;1;;1;0
6014;8;Miros?aw Bulzacki;DF;Poland;0;0;0;0;;0;0
5034;9;W?adys?aw ?muda;DF;Poland;7;7;630;0;;0;0
6015;10;Adam Musia?;DF;Poland;6;6;520;0;;1;0
6016;7;Henryk Wieczorek;MF;Poland;0;0;0;0;;0;0
6017;11;Les?aw ?mikiewicz;MF;Poland;6;0;108;0;;0;0
5739;12;Kazimierz Deyna ;MF;Poland;7;7;619;3;;0;0
5737;13;Henryk Kasperczak;MF;Poland;7;7;601;0;;2;0
6018;14;Zygmunt Maszczyk;MF;Poland;7;7;593;0;;0;0
6019;15;Roman Jakóbczak;FW;Poland;0;0;0;0;;0;0
5487;16;Grzegorz Lato;FW;Poland;7;7;630;7;;0;0
5488;17;Andrzej Szarmach;FW;Poland;6;6;425;5;;1;0
6020;18;Robert Gadocha;FW;Poland;7;7;624;0;;0;0
6021;19;Jan Domarski;FW;Poland;3;1;122;0;;0;0
6022;20;Zdzis?aw Kapka;FW;Poland;1;0;16;0;;0;0
6023;21;Kazimierz Kmiecik;FW;Poland;2;0;42;0;;0;0
5489;22;Marek Kusto;FW;Poland;0;0;0;0;;0;0
6024;1;David Harvey;GK;Scotland;3;3;270;0;;0;0
6025;12;Thomson Allan;GK;Scotland;0;0;0;0;;0;0
6026;13;Jim Stewart;GK;Scotland;0;0;0;0;;0;0
5744;2;Sandy Jardine;DF;Scotland;3;3;270;0;;0;0
5493;3;Danny McGrain;DF;Scotland;3;3;270;0;;0;0
6027;5;Jim Holton;DF;Scotland;3;3;270;0;;1;0
6028;6;John Blackley;DF;Scotland;1;1;90;0;;0;0
5746;14;Martin Buchan;DF;Scotland;2;2;180;0;;0;0
5745;16;Willie Donachie;DF;Scotland;0;0;0;0;;0;0
5747;21;Gordon McQueen;DF;Scotland;0;0;0;0;;0;0
6029;22;Erich Schaedler;DF;Scotland;0;0;0;0;;0;0
6030;4;Billy Bremner ;MF;Scotland;3;3;270;0;;0;0
6031;7;Jimmy Johnstone;MF;Scotland;0;0;0;0;;0;0
6032;10;David Hay;MF;Scotland;3;3;270;0;;1;0
6033;15;Peter Cormack;MF;Scotland;0;0;0;0;;0;0
6034;17;Donald Ford;MF;Scotland;0;0;0;0;;0;0
6035;18;Tommy Hutchison;MF;Scotland;2;0;42;0;;0;0
5502;8;Kenny Dalglish;FW;Scotland;3;3;228;0;;0;0
5504;9;Joe Jordan;FW;Scotland;3;3;270;2;;1;0
6036;11;Peter Lorimer;FW;Scotland;3;3;270;1;;0;0
6037;19;Denis Law;FW;Scotland;1;1;90;0;;0;0
6038;20;Willie Morgan;FW;Scotland;2;2;180;0;;0;0
5775;1;Ronnie Hellström;GK;Sweden;6;6;540;0;;0;0
6039;12;Sven-Gunnar Larsson;GK;Sweden;0;0;0;0;;0;0
5776;17;Göran Hagberg;GK;Sweden;0;0;0;0;;0;0
6040;2;Jan Olsson;DF;Sweden;4;4;344;0;;0;0
5783;3;Kent Karlsson;DF;Sweden;6;6;540;0;;0;0
6041;4;Björn Nordqvist;DF;Sweden;5;5;450;0;;1;0
6042;5;Björn Andersson;DF;Sweden;4;4;329;0;;1;0
6043;13;Roland Grip;DF;Sweden;3;2;196;0;;0;0
6044;18;Jörgen Augustsson;DF;Sweden;3;2;211;0;;0;0
6045;6;Ove Grahn;MF;Sweden;6;6;540;0;;2;0
6046;7;Bo Larsson ;MF;Sweden;5;5;391;0;;0;0
5794;8;Conny Torstensson;MF;Sweden;5;4;375;1;;0;0
5785;14;Staffan Tapper;MF;Sweden;5;5;409;0;;0;0
6047;15;Benno Magnusson;MF;Sweden;2;1;77;0;;0;0
6048;16;Inge Ejderstedt;MF;Sweden;2;1;149;0;;0;0
6049;19;Claes Cronqvist;MF;Sweden;0;0;0;0;;0;0
6050;20;Sven Lindman;MF;Sweden;0;0;0;0;;0;0
6051;21;Örjan Persson;MF;Sweden;2;1;120;0;;1;0
6052;22;Thomas Ahlström;MF;Sweden;2;0;42;0;;0;0
6053;9;Ove Kindvall;FW;Sweden;2;2;147;0;;0;0
5796;10;Ralf Edström;FW;Sweden;6;6;540;4;;0;0
6054;11;Roland Sandberg;FW;Sweden;6;6;540;2;;0;0
6055;1;Ladislao Mazurkiewicz;GK;Uruguay;3;3;270;0;;0;0
