player_id,world_cup_year,team,club,country_club
252,2022,Ecuador ,Los Angeles FC,USA
253,2022,Ecuador ,Talleres,Argentina
254,2022,Ecuador ,Brighton,England
255,2022,Ecuador ,Imbabura,Ecuador
256,2022,Ecuador ,Santos Laguna,Mexico
257,2022,Ecuador ,Pachuca,Mexico
258,2022,Ecuador ,Cruz Azul,Mexico
259,2014,Ecuador, Pachuca,Mexico
259,2022,Ecuador ,Fenerbahce,Turkey
260,2022,Ecuador ,Newell's Old Boys,Argentina
261,2018,England,Everton,England
261,2022,England,Everton,England
262,2022,England,Newcastle United,England
263,2022,England,Arsenal,England
264,2018,England,Liverpool,England
264,2022,England,Liverpool,England
265,2022,England,Everton,England
266,2018,England,Tottenham,England
266,2022,England,Tottenham,England
267,2018,England,Leicester City,England
267,2022,England,Manchester United,England
268,2014,England,Southampton,England
268,2022,England,Manchester United,England
269,2018,England,Manchester City,England
269,2022,England,Manchester City,England
270,2018,England,Tottenham,England
270,2022,England,Newcastle United,England
271,2022,England,Manchester City,England
272,2022,England,Manchester City,England
272,2022,England,Arsenal,England
273,2022,England,Borussia Dortmund,Germany
274,2022,England,Chelsea,England
275,2014,England,Liverpool,England
275,2018,England,Liverpool,England
275,2022,England,Liverpool,England
276,2022,England,Chelsea,England
277,2022,England,Manchester City,England
278,2022,England,West Ham United,England
279,2022,England,Manchester City,England
280,2022,England,Manchester City,England
281,2018,England,Tottenham,England
281,2022,England,Tottenham,England
282,2022,England,Leicester City,England
283,2018,England,Manchester United,England
283,2022,England,Manchester United,England
284,2022,England,Arsenal,England
285,2014,England,Liverpool,England
285,2018,England,Manchester City,England
285,2022,England,Chelsea,England
286,2022,England,Newcastle United,England
287,2010,France,Lyon,France
287,2014,France,Tottenham,England
287,2018,France,Tottenham,England
287,2022,France,Tottenham,England
288,2018,France,PSG,France
288,2022,France,West Ham,England
289,2010,France,Marseille,France
289,2018,France,Marseille,France
289,2022,France,Rennes,France
290,2018,France,Stuttgart,Germany
290,2022,France,Bayern Munich,Germany
291,2022,France,Barcelona,Spain
292,2014,France,Real Madrid,Spain
292,2018,France,Real Madrid,Spain
292,2022,France,Manchester United,England
293,2022,France,PSG,France
294,2022,France,Arsenal,England
295,2022,France,AC Milan,Italy
296,2018,France,Atletico Madrid,Spain
296,2022,France,Bayern Munich,Germany
297,2022,France,Liverpool,England
298,2022,France,Bayern Munich,Germany
299,2022,France,Juventus,Italy
300,2022,France,Real Madrid,Spain
301,2022,France,Monaco,France
302,2022,France,Marseille,France
303,2022,France,Marseille,France
304,2022,France,Real Madrid,Spain
305,2022,France,Monaco,France
306,2022,France,Bayern Munich,Germany
307,2018,France,PSG,France
307,2022,France,PSG,France
308,2014,France,Arsenal,England
308,2018,France,Chelsea,England
308,2022,France,AC Milan,Italy
309,2014,France,Real Sociedad,Spain
309,2018,France,Atletico Madrid,Spain
309,2022,France,Atletico Madrid,Spain
310,2018,France,Barcelona,Spain
310,2022,France,Barcelona,Spain
311,2022,France,Eintracht Frankfurt,Germany
312,2022,France,Borussia Monchengladbach,Germany
313,2010,Germany,Bayern Munich,Germany
313,2014,Germany,Bayern Munich,Germany
313,2018,Germany,Bayern Munich,Germany
313,2022,Germany,Bayern Munich,Germany
314,2018,Germany,Barcelona,Spain
314,2022,Germany,Barcelona,Spain
315,2018,Germany,Eintracht Frankfurt,Germany
315,2022,Germany,Eintracht Frankfurt,Germany
316,2018,Germany,Chelsea,England
316,2022,Germany,Real Madrid,Spain
317,2014,Germany,Freiburg,Germany
317,2018,Germany,Borussia Moenchengladbach,Germany
317,2022,Germany,Freiburg,Germany
318,2018,Germany,Bayern Munich,Germany
318,2022,Germany,Borussia Dortmund,Germany
319,2022,Germany,West Ham,England
320,2022,Germany,RB Leipzig,Germany
321,2022,Germany,RB Leipzig,Germany
322,2022,Germany,Freiburg,Germany
323,2022,Germany,Borussia Dortmund,Germany
324,2022,Germany,Southampton,England
325,2018,Germany,Bayern Munich,Germany
325,2022,Germany,Bayern Munich,Germany
326,2014,Germany,Bayern Munich,Germany
326,2022,Germany,Eintracht Frankfurt,Germany
327,2018,Germany,Manchester City,England
327,2022,Germany,Manchester City,England
328,2018,Germany,Schalke 04,Germany
328,2022,Germany,Bayern Munich,Germany
329,2018,Germany,Bayer Leverkusen,Germany
329,2022,Germany,Borussia Dortmund,Germany
330,2022,Germany,Chelsea,England
331,2022,Germany,Bayern Munich,Germany
332,2022,Germany,Borussia Monchengladbach,Germany
333,2010,Germany,Bayern Munich,Germany
333,2014,Germany,Bayern Munich,Germany
333,2018,Germany,Bayern Munich,Germany
333,2022,Germany,Bayern Munich,Germany
334,2022,Germany,Bayern Munich,Germany
335,2022,Germany,Bayern Munich,Germany
336,2022,Germany,Borussia Dortmund,Germany
337,2022,Germany,Werder Bremen,Germany
338,2022,Germany,Borussia Dortmund,Germany
339,2022,Ghana,Eupen,Belgium
340,2022,Ghana,Asante Kotoko,Ghana
341,2022,Ghana,St. Gellen,Switzerland
342,2022,Ghana,Club Brugge,Belgium
343,2022,Ghana,Brighton,England
344,2022,Ghana,Clermont,France
345,2022,Ghana,Leicester City,England
346,2022,Ghana,Celta Vigo,Spain
347,2022,Ghana,Strasbourg,France
348,2022,Ghana,Southampton,England
349,2022,Ghana,Reading,England
350,2022,Ghana,Auxerre,France
351,2010,Ghana,Arles-Avignon,France
351,2014,Ghana,Marseille,France
351,2022,Ghana,Al-Sadd,Qatar
352,2022,Ghana,Arsenal,England
353,2022,Ghana,Gent,Belgium
354,2022,Ghana,Lens,France
